GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
claim-management-service,com.claimmanagement.model.dto,ClaimRequestDto,44,59,0,0,11,25,2,17,2,17
claim-management-service,com.claimmanagement.model.dto,ClaimResponseDto,62,105,4,4,15,39,6,27,2,27
claim-management-service,com.claimmanagement.model.entity,Claim,0,168,0,6,0,54,0,32,0,29
claim-management-service,com.claimmanagement.model.entity,ClaimStatus,0,160,0,30,0,24,0,25,0,8
claim-management-service,com.claimmanagement.exception,GlobalExceptionHandler,98,200,6,4,26,60,8,8,3,8
claim-management-service,com.claimmanagement.exception,ClaimNotFoundException,0,87,0,2,0,22,0,10,0,9
claim-management-service,com.claimmanagement.exception,GlobalExceptionHandler.ErrorResponse,37,55,1,1,16,18,8,9,7,9
claim-management-service,com.claimmanagement.exception,InvalidClaimStateException,0,222,1,13,0,49,1,21,0,15
claim-management-service,com.claimmanagement.exception,GlobalExceptionHandler.ErrorResponse.ErrorResponseBuilder,0,42,0,0,0,12,0,7,0,7
claim-management-service,com.claimmanagement.controller,ClaimController,158,128,3,1,33,27,11,7,9,7
claim-management-service,com.claimmanagement,ClaimManagementServiceApplication,5,3,0,0,2,1,1,1,1,1
claim-management-service,com.claimmanagement.mapper,ClaimMapperImpl,1,255,9,19,1,72,9,11,0,6
claim-management-service,com.claimmanagement.mapper,ClaimMapper,6,19,1,7,1,6,1,5,0,2
claim-management-service,com.claimmanagement.service.impl,ClaimServiceImpl,175,386,6,16,32,85,18,19,12,14
